id,wikidata_id,name,description,wikipedia_title,entity_type,gender,publisher,narrative_universe,first_appearance,creators
294,Q39071489,Maker,fictional character in Marvel Comics,Maker (character),mutate,male,,Earth-1610,,Brian Michael Bendis; Mark Millar; Adam Kubert
295,Q3998685,Walrus,minor Marvel Comics supervillain of Spider-Man,Walrus (Marvel Comics),comics character,,,Earth-616,,
296,Q4003146,Ultimate Beast,fictional character in Marvel Comics,,mutant; comics character,male,,Earth-1610,,Mark Millar; Adam Kubert
297,Q4003147,Ultimate Cyclops,fictional character in Marvel Comics,,mutant; comics character,male,,Earth-1610,,Mark Millar; Adam Kubert
298,Q4003148,Ultimate Captain America,fictional character appearing in Ultimate Marvel comic books,Captain America (Ultimate Marvel character),comics character; fictional human,male,,Earth-1610,,Mark Millar; Bryan Hitch
299,Q4003164,Ultimate Black Cat,American accountant,,comics character; fictional human,female,,Earth-1610,,Brian Michael Bendis; Mark Bagley
300,Q4003168,Ultimate Kraven,fictional character in Marvel Comics,,mutate,male,,Earth-616,,Brian Michael Bendis; Mark Bagley
301,Q4003183,Ultimate Storm,fictional character in Marvel Comics,,mutant; comics character,female,,Earth-1610,,Mark Millar; Adam Kubert
302,Q4003185,Thor,super hero in the Ultimate Marvel Universe,Thor (Ultimate Marvel),comics character; fictional deity,male,,Earth-1610,,Mark Millar; Bryan Hitch
303,Q4003186,Ultimate Venom,fictional character in Marvel comics,,comics character,,,Earth-1610,,
304,Q4009216,Yelena Belova,"fictional character, a spy in the Marvel Comics Universe",Yelena Belova,fictional human; comics character,female,,Earth-616,,
305,Q43073416,Diamondback,"fictional character in Marvel Comics, introduced in 1972",Diamondback (Willis Stryker),fictional human; comics character; television character,male,,Earth-616,,Archie Goodwin; George Tuska
306,Q431125,Stilt-Man,name of different Marvel supervillains,Stilt-Man,fictional human,,,Earth-616,,
307,Q431400,Trapster,supervillain,Trapster,comics character,,,Earth-616,,
308,Q431862,Sabretooth,fictional character in Marvel Comics,Sabretooth (character),mutant; animated character; film character,male,,Earth-616,,Chris Claremont; John Byrne
309,Q432272,Medusa,fictional character in Marvel Comics,Medusa (Marvel Comics),Inhuman,female,,Earth-616,,Stan Lee; Jack Kirby
310,Q4353353,Squirrel Girl,fictional character in Marvel Comics,Squirrel Girl,mutate; comics character; animated character,female,,Earth-616,,Steve Ditko; Will Murray
311,Q4483669,Phil Urich,fictional character created by Marvel Comics,Phil Urich,fictional human; comics character,male,,Earth-616,,
312,Q4691169,Agamemnon,fictional character in Marvel Comics,Agamemnon (comics),comics character,male,,Earth-616,,
313,Q4699585,Ajax,codename belonging to two different characters in Marvel Comics,Ajax (Francis Freeman),mutate; comics character; film character,male,,Earth-616,,
314,Q47302915,Thane,,,character,male,,Earth-616,,
315,Q4746268,Amiko Kobayashi,fictional character in Marvel Comics,Amiko Kobayashi,fictional human; comics character,female,,Earth-616,Uncanny X-Men #181,Chris Claremont; John Romita Jr.
316,Q47471875,Ultimate Spider-Man,fictional character in the Ultimate Marvel universe,Spider-Man (Ultimate Marvel character),fictional human; mutate; comics character,male,,Earth-1610,,Brian Michael Bendis; Mark Bagley
317,Q4781622,Madman,Marvel Comics supervillian,Madman (Marvel Comics),comics character; fictional human,male,,Earth-616,,
318,Q48412444,Ultimate Magneto,Marvel Comics character,,mutant; comics character,male,,Earth-1610,,Mark Millar; Adam Kubert
319,Q48544198,Ultimate Green Goblin,fictional character in Marvel Comics,Green Goblin (Ultimate Marvel character),comics character; mutate; fictional human,male,,Earth-1610,,Brian Michael Bendis; Mark Bagley; Bill Jemas
320,Q48739522,Spider-Man,Alternate reality version of Spider-Man,Spider-Man (Marvel Mangaverse),comics character; mutate,male,,Marvel Mangaverse,,
321,Q4883353,Bella Donna,fictional character in Marvel Comics,Bella Donna (character),mutant; animated character; comics character; fictional human,female,,Earth-616,,Scott Lobdell; Jim Lee
322,Q4889166,Benjamin Richard Parker,fictional character in Marvel Comics,Benjamin Richard Parker,comics character; mutate,male,,Earth-616; Marvel Comics 2,,
323,Q48946153,Ultimate Rogue,comics character,,mutant; comics character,female,,Earth-1610,,Mark Millar; Adam Kubert
324,Q48947511,Ultimate Iceman,fictional character in Marvel Comics,,mutant; comics character,male,,Earth-1610,,Mark Millar; Adam Kubert
325,Q48957559,Ultimate Gambit,American street artist,,mutant; comics character,male,,Earth-1610,,Chuck Austen; Esad Ribić
326,Q48958279,Ultimate Kitty Pryde,fictional character in Marvel Comics,,mutant; comics character,female,,Earth-1610,,Mark Millar; Adam Kubert
327,Q4921877,Black Spectre,comics character,Black Spectre,comics character,,,Earth-616,,
328,Q4928002,Bloodshed,supervillain in Marvel Comics,Bloodshed (character),comics character,,,Earth-616,,
329,Q4963042,Brian Banner,Marvel comics character,Brian Banner,comics character,male,,Earth-616,,Bill Mantlo; Sal Buscema; Mike Mignola
330,Q5032038,Candra,fictional character in Marvel Comics,Candra (comics),mutant; comics character,female,,Earth-616,,
331,Q5063090,Centurious,fictional character,Centurious,comics character,,,Earth-616,,
332,Q510450,Invisible Woman,fictional character in Marvel Comics,Invisible Woman,mutate; animated character; film character,female,,Earth-616,Fantastic Four #1,Stan Lee; Jack Kirby
333,Q5200168,Cynthia von Doom,fictional character in Marvel Comics,Cynthia Von Doom,fictional human; comics character,female,,Earth-616,,Gerry Conway; Gene Colan
334,Q5210033,Dakota North,fictional character in Marvel Comics,Dakota North (character),fictional human; comics character,female,,Earth-616,,
335,Q5212824,Damon Dran,fictional character in Marvel Comics,Damon Dran,mutate,male,,Earth-616,,Gerry Conway; Gene Colan
336,Q5223578,Darkdevil,Fictional superhero appearing in American comic books published by Marvel Comics,Darkdevil,comics character,male,,Marvel Comics 2,,
337,Q52413964,Old Man Logan,"fictional character, Old Man Logan version of Wolverine in the Marvel Comics universe",,mutant; comics character,male,,Earth-616,,Mark Millar; Steve McNiven
