identity_id,relation,other_name,other_identity_id,other_wikidata_id
243,father,David Munroe,,Q111449140
243,spouse,Black Panther / T'Challa,69,Q998220
243,partner,Wolverine,46,Q186422
243,partner,Forge,,Q1002884
243,alternate_universe_counterpart,Storm,,Q112110393
243,alternate_universe_counterpart,Ultimate Storm,,Q4003183
244,spouse,Soren (Skrull),239,Q66189494
245,enemy,Scott Lang,,Q81787
246,enemy,Adam Warlock,,Q1735229
246,enemy,Avengers,,Q322646
246,enemy,Guardians of the Galaxy,,Q2545790
246,enemy,Galactus,111,Q1429836
246,enemy,The Fantastic Four,,Q152098
246,enemy,X-Men,,Q128452
246,enemy,Elders of the Universe,,Q3038387
246,enemy,Silver Surfer / Norrin Radd,202,Q95153
246,enemy,Mar-Vell,,Q927598
246,enemy,Phyla-Vell,,Q1235121
246,enemy,Gamora,,Q2721152
246,enemy,Drax the Destroyer,,Q898039
246,enemy,Star-Lord,,Q3496918
246,enemy,Iron Man / Tony Stark,136,Q180704
246,enemy,Kronos,,Q3199922
246,enemy,Living Tribunal,,Q2735212
246,enemy,Beyonder,,Q1994866
246,mother,Sui-San,,Q130378413
246,father,Mentor,,Q930794
246,child,Gamora,,Q2721152
246,child,Nebula,,Q2721134
246,child,Thane,,Q47302915
246,relative,Kronos,,Q3199922
246,relative,Gamora,,Q2721152
246,relative,Nebula,,Q2721134
246,relative,Corvus Glaive,,Q17986678
246,relative,Zuras,,Q3576299
246,relative,Ebony Maw,,Q20979240
247,spouse,Silver Sable,34,Q1877130
249,enemy,Loki,164,Q1147326
249,enemy,Malekith the Accursed,,Q3281842
249,enemy,Surtur,,Q3247771
249,enemy,Laufey,,Q6497975
249,enemy,Midgard Serpent,,Q6842189
249,enemy,Lorelei,,Q3259423
249,enemy,Seth,,Q3480653
249,enemy,Mangog,,Q3285766
249,enemy,Wrecker,,Q654551
249,enemy,Radioactive Man,,Q978851
249,enemy,Mister Hyde,,Q1638775
249,enemy,Absorbing Man,,Q2465865
249,enemy,Destroyer,,Q2473486
249,enemy,Ego the Living Planet,,Q2642342
249,enemy,Ulik,,Q2746596
249,enemy,Hela,,Q3043221
249,enemy,Executioner,,Q3109952
249,enemy,Gorr the God Butcher,,Q96379736
249,mother,Gaea,,Q3545630
249,mother,Frigga,,Q3087835
249,father,Odin,,Q1319513
249,child,Torunn,,Q6151029
249,alternate_universe_counterpart,Thor,,Q4003185
249,alternate_universe_counterpart,King Thor,,Q113947121
25,enemy,Kangaroo,,Q3192657
25,enemy,Ultimate Green Goblin,,Q48544198
25,enemy,Aaron Davis,,Q60484975
25,mother,Rio Morales,225,Q60825677
25,father,Jefferson Davis,144,Q115534083
251,enemy,Daredevil,8,Q327553
251,spouse,Kingpin,19,Q1753322
251,partner,Daredevil,8,Q327553
252,enemy,X-Men,,Q128452
253,enemy,Captain America,5,Q190679
253,enemy,Peter Parker / Spider-Man,27,Q79037
256,child,Black Cat,3,Q912640
258,relative,White Tiger,,Q17064925
26,enemy,Peter Parker / Spider-Man,27,Q79037
26,enemy,Daredevil,8,Q327553
262,enemy,Sunset Bain,,Q3503968
27,enemy,Gold Goblin,117,Q17090877
27,enemy,Doctor Octopus,10,Q578094
27,enemy,Patrick Mulligan / Toxin,207,Q2604715
27,enemy,Eddie Brock / Venom,12,Q1621261
27,enemy,Mysterio,26,Q2283843
27,enemy,Lizard,21,Q19382
27,enemy,Tombstone,43,Q59643
27,enemy,Wraith,,Q369515
27,enemy,Speed Demon,,Q385744
27,enemy,Carlton Drake / Riot,80,Q507241
27,enemy,Chameleon,7,Q521305
27,enemy,Rhino,28,Q572626
27,enemy,Dennis Carradine / Burglar,78,Q606569
27,enemy,Alyosha Kravinoff,,Q653898
27,enemy,Kraven the Hunter,20,Q654588
27,enemy,Green Goblin,,Q735721
27,enemy,Hobgoblin,,Q849818
27,enemy,Sandman,29,Q1049890
27,enemy,Michael Morbius / Living Vampire,23,Q1087722
27,enemy,Beetle,65,Q1168065
27,enemy,Kingpin,19,Q1753322
27,enemy,Carnage,6,Q1753328
27,enemy,Will o' the Wisp,,Q1772036
27,enemy,Cletus Kasady,,Q55607777
27,enemy,Ox,,Q111910188
27,enemy,Demogoblin,94,Q1812152
27,enemy,Scream,,Q1861779
27,enemy,Hydro-Man,131,Q1990090
27,enemy,Grim Hunter,,Q2003141
27,enemy,Shocker,31,Q2015743
27,enemy,Frederick Foswell,,Q2032965
27,enemy,Aaron Davis / Prowler,48,Q2274942
