id,name,person_id,wikidata_id,wikipedia_title
402,Sumalee Montano,,,Sumalee Montano
403,Nolan North,,,Nolan North
404,Liam O'Brien,,,Liam O'Brien
405,Patton Oswalt,,,Patton Oswalt
406,Nathaniel J. Potvin,,,Nathaniel J. Potvin
407,Ben Pronsky,,,Ben Pronsky
408,Leonard Roberts,,,Leonard Roberts
409,Kevin Shinick,391,,Kevin Shinick
410,Roger Craig Smith,,,Roger Craig Smith
411,Jason Spisak,,,Jason Spisak
412,April Stewart,,,April Stewart
413,Booboo Stewart,,,Booboo Stewart
414,Imari Williams,,,
415,Mick Wingert,,,Mick Wingert
416,Gabrielle Ruiz,,,Gabrielle Ruiz
417,Tru Valentino,,,Tru Valentino
418,John Stamos,,,John Stamos
419,Andy Milder,,,Andy Milder
420,Mario Lopez,,,Mario Lopez
421,Emma Berman,,,Emma Berman
422,Kylie Cantrall,,,Kylie Cantrall
423,Justin Shenkarow,,,Justin Shenkarow
424,Stephanie Lemelin,,,Stephanie Lemelin
425,Trevor Devall,,,Trevor Devall
426,Bumper Robinson,,,Bumper Robinson
427,Haley Joel Osment,,,Haley Joel Osment
428,Vanessa Bayer,,,Vanessa Bayer
