person_id,occupation
65,film actor
66,actor
66,television actor
66,film actor
66,stage actor
67,television actor
67,film actor
67,stage actor
67,actor
67,basketball player
67,musician
68,film actor
68,rapper
68,television actor
68,actor
69,screenwriter
69,stage actor
69,film actor
69,model
69,executive producer
69,film producer
69,television actor
69,actor
7,actor
7,film director
7,television actor
7,voice actor
70,television actor
70,film actor
70,film producer
70,stage actor
70,actor
70,musician
71,actor
71,rapper
71,film actor
71,singer
71,television actor
71,voice actor
71,activist
72,actor
72,television actor
72,screenwriter
72,film director
73,stand-up comedian
73,actor
73,film producer
73,writer
73,screenwriter
73,children's writer
73,singer
73,voice actor
73,comedian
74,television actor
74,film actor
74,stage actor
74,theatre director
74,film director
74,screenwriter
74,film producer
74,voice actor
74,actor
75,television actor
75,film actor
75,actor
75,pharmacist
76,film actor
76,television actor
76,stage actor
76,film director
76,actor
77,actor
77,film actor
78,actor
78,television actor
78,voice actor
79,television actor
79,film actor
79,stage actor
79,actor
79,accountant
8,television actor
80,film actor
80,television actor
80,actor
81,actor
81,film actor
81,television actor
81,film director
81,stage actor
82,actor
82,television actor
82,film actor
82,singer
82,rapper
82,film producer
82,musician
83,actor
83,television actor
83,screenwriter
83,film producer
84,actor
84,model
84,film producer
84,child actor
84,businessperson
85,actor
85,stage actor
85,film actor
85,television actor
86,actor
86,singer
86,model
86,television actor
86,film actor
86,voice actor
86,fashion model
87,television actor
87,film actor
87,actor
88,comedian
88,film producer
88,director
88,television actor
88,film actor
88,voice actor
88,screenwriter
88,singer
88,writer
88,rapper
88,actor
89,actor
89,television actor
89,film actor
89,voice actor
89,film director
9,actor
9,film actor
90,actor
90,singer
90,television actor
91,actor
91,film actor
91,stage actor
91,child actor
91,television actor
91,film screenwriter
91,voice actor
91,film producer
92,actor
92,film director
93,actor
93,stage actor
93,television actor
93,film actor
94,actor
94,singer
94,dancer
94,musical theatre actor
95,actor
96,actor
96,film producer
96,singer
96,character actor
96,screenwriter
96,film actor
96,television actor
96,film director
96,composer
96,director
96,producer
96,writer
97,actor
98,film actor
98,actor
98,film producer
98,television actor
99,stage actor
99,film actor
99,actor
99,director
99,screenwriter
99,television actor
99,film director
99,voice actor
